CODIGO,DESCRIPCION
194,3RAUM DE TANA
83,AGUA CRISTAL
461,AGUA MARINA
472,AGUAMARINA Y BLANCO
473,AGUAMARINA Y HABANO
474,ALASKA METALICO
465,ALMENDRA
86,ALUMINIO
475,ALUMINIO GRANO MEDIO
476,AMARILL  BLAN. AZUL GRIS  ROJO
4,AMARILLO
6,AMARILLO DAKAR
21,AMBAR METALIZAD
42,ANARANJADO
80,ARENA
477,ARENA DORADA METALIZADO
478,ARENA MIST
23,ARENA PLATA
479,ARENA PLAYA
480,ARENA ROCK
25,ARMADA
481,ASCOT VERDE METALICO
30,ASPEN SILVER
35,ASTRO PLATA
482,ASTRO SILVER
39,ATLANTIS BLAU
5,AZUL
50,AZUL ADRIATICO
51,AZUL AGUA
82,AZUL ALBORADA
445,AZUL AMATISTA
99,AZUL ATLANTICO
100,AZUL ATLANTIS
101,AZUL AVIACION
102,AZUL BAHIA
103,AZUL BEIGE
459,AZUL BLAZE
104,AZUL BRILLANTE
105,AZUL BRUMA
454,AZUL BURITI
106,AZUL CANCUN
13,AZUL CARIBE
449,AZUL CELEDON
107,AZUL CELESTE
16,AZUL CIELO
17,AZUL CLARO
108,AZUL COBALTO
109,AZUL CORREAL
110,AZUL COSMICO
111,AZUL DANES
112,AZUL DANUBIO
113,AZUL ELECTRICO
114,AZUL FANTASIA
26,AZUL FIRMAMENTO
115,AZUL FRESCO
116,AZUL GENESIS
117,AZUL GRAVA
118,AZUL IBIZA
32,AZUL IMPERIAL
119,AZUL INDIGO
120,AZUL INFINITO
121,AZUL LAGO
122,AZUL LAGUNA
421,AZUL LISBOA
123,AZUL MARINO
124,AZUL MEDITERRAN
125,AZUL METAL
126,AZUL MICA
127,AZUL MONACO
128,AZUL MONTEVIDEO
129,AZUL MOONLIGTH
130,AZUL NAUTICO
131,AZUL NAVAL
132,AZUL NAVY
133,AZUL NEVADO
423,AZUL NIAGARA
134,AZUL NIEBLA
135,AZUL NOCTURNO
45,AZUL OSCURO
136,AZUL OSFORD
47,AZUL PACIFICO
471,AZUL PANTERA
137,AZUL PERLA
138,AZUL PERLECENTE
139,AZUL PETROLEO
140,AZUL POLICROMAD
440,AZUL RIVIERA
141,AZUL ROYAL
142,AZUL SAJON
143,AZUL SANTIAGO
144,AZUL SIDNEY
433,AZUL SUPERIOR
432,AZUL TINTA
145,AZUL TORMENTA
146,AZUL TURQUEZA
147,AZUL VERDOSO
148,AZUL VIOLETA
419,AZUL VOLTIO
149,AZUL WINDSOR
442,AZUL Y
548,AZUL Y MARFIL
998,AZUL Y ROJO
66,AZUL ZAFIRO
483,AZURIT AZUL METALICO 
484,BASE AZUL MEDIO METAL.
485,BASE PLATA METAL.
486,BASE VERDE CLARO
487,BCO AMARILLO VERDE NARANJ
488,BCO SEVRES FJ AZUL ROJO VERDE 
489,BCO VERDE AMARIL  NARAN
490,BCO.NARANJA ZAPOTE
7,BEIGE
150,BEIGE ALABASTRO
151,BEIGE CARRARA
152,BEIGE CHAMPANA
153,BEIGE CINZA
154,BEIGE CLARO
155,BEIGE DUNA
156,BEIGE FRASER
157,BEIGE HUESO
158,BEIGE IMPALA
159,BEIGE JIZAN
160,BEIGE MARFIL
161,BEIGE MARRON
162,BEIGE MAYFAIR
444,BEIGE OSCURO
163,BEIGE PHENICIEN
55,BEIGE SAHARA
453,BEIGE TOUCSON
62,BELL FLOWER
491,BERMELLON
492,BLAN  AZUL ROJ VERD AMAR Y NAR
493,BLANC.FJA.NEGRA ROJA AMARILLA
494,BLANCA Y CRUZ ROJA
8,BLANCO
495,BLANCO  FJA VERDE AZUL NARAN
496,BLANCO / PLATA COOL
497,BLANCO ALABASTO
498,BLANCO ALABASTRO
499,BLANCO ALASKA
164,BLANCO ALPINO
500,BLANCO AMARILLO AZUL Y ROJO
501,BLANCO AMARILLO NARANJA
502,BLANCO AMARILLO ROJO Y AZUL
503,BLANCO AMARILLO VERDE Y ROJO
504,BLANCO AMARILLO Y AZUL
505,BLANCO AMARILLO Y FJA AZUL 
506,BLANCO AMARILLO Y GRIS
507,BLANCO AMARILLO Y MANDARINA
508,BLANCO AMARILLO Y NEGRO
509,BLANCO AMARILLO Y ROJO
510,BLANCO AMARILLO Y VERDE
511,BLANCO ANDINO
165,BLANCO ANTARTIDA
166,BLANCO APERLADO
513,BLANCO ARAYA
167,BLANCO ARCO
514,BLANCO ARCO BICAPA
168,BLANCO ARTICO
515,BLANCO ARTICO AZUL DANES
516,BLANCO ARTICO FJA AZUL
