CODIGO MARCA,CODIGO LINEA,DESCRIPCION
11,1,125-AMPLE
12,1,TCUMSON
13,1,ATLV 4300
14,1,150T-15
15,1,TDL-08ZE
16,2,RT20L
16,1,SIN LINEA
16,3,TIARA
17,3,FL200ZK1
17,1,FL250ZK1
17,2,SIN LINEA
18,2,CENTAURO-70 S.P.
18,3,CORSADO
18,4,DRAGO 110
18,5,DRAGO 120
18,6,DRAGO 4RM
18,7,EXPLORER 80
18,8,MINITAURUS SYNCHRO-60
18,1,SIN LINEA
19,1,SD650ZH-2
19,2,SD800ZH
1A,1,CAPONORD
1A,2,TODO TERRENO
1B,1,XB12S
1C,1,CUSHMA
1D,1,DVHM 3222
1F,1,FPA250
1G,1,G150-D
1H,1,HAISE
1J,1,JC 100 7
1J,2,JC 125-8
1J,3,JC 90
1J,4,JS 50
1J,5,STORMY 110
1K,1,LK 300A
1M,2,150T
1M,1,MT125
1N,1,HOWO 6X4 TIPPER LHD
1P,1,GS 60
1P,2,SIN LINEA
1S,1,ATV 200-1
1T,2,RTR160
1T,1,STAR CITY (ES)
1V,1,THONGA
1W,1,SJPETRO
20,1,SL 110-7
20,2,"SL 125-2A,"
20,3,SL 125-3D
20,4,SL 150-9
21,1,660000000
22,1,YG-125T-5
22,6,YG-80
22,2,YG125T-9
22,3,YG150-19
22,4,YG250-5
22,5,YG50QT-2
23,2,SHANGHAI-50
23,1,SIN LINEA
24,1,CPQYD30SA-M1
25,1,SR 125
25,2,SY 110
25,3,SY 125
25,4,SY 150 LY
26,1,CV306
27,1,DIAMOND
27,2,XY 200-S
27,3,XY110
27,4,XY125
28,2,SS-150-GY
28,1,SS125T-8
29,2,SIN LINEA
29,1,TD 125
2A,1,8X8 AVENGER
2B,1,ATV FA-D300
2C,1,YG150
2D,1,520 B
2D,2,SIN LINEA
2F,1,14 CT
2F,2,FG 70
2F,4,FG 85A
2F,3,SIN LINEA
2H,1,HBF15
2J,1,QJ100B10
2J,2,SIN LINEA
2K,9,BAJ 56A
2K,1,"BET & WIN 249,1"
2K,2,KM-100-1
2K,3,KQT 70
2K,4,KQT 90
2K,5,KT-125
2K,6,KX100
2K,10,RX 100 (ZK)
2K,7,SCOOTER KM110W
2K,999,SIN LINEA
2K,8,X-1
2M,1,MZ
2M,2,TS 125
2M,3,TS 250
2P,1,PM150T-11
2S,1,SHUANGHUAN MT 
2T,1,ATV 200
2T,2,TY 200
30,1,ST110-ATV
30,3,ST90
30,2,ST90
31,1,JL 100 TD
31,2,JL 100A
31,3,JL 110-3C
31,11,JL 110-4
31,4,JL 125
31,5,JL 125 3A
31,6,JL 125 TB
31,12,JL 125-4A
31,13,JL 125AIII
31,7,JL 150-2
31,14,JL 150-2
31,8,JL 150-6C
31,15,JL 150-6C
31,9,JL 150-6D
31,16,JL 200 GY
31,10,JL 250-6C
31,17,SM 110-3A
31,18,SM 150- A
31,19,SM 150-4A
31,20,SM 150-B
31,21,SM 150-BL
31,22,SM 200-4A
31,23,SM 200-B
31,24,SM 200-BL
32,1,RX300
33,1,ATV150
34,2,LD211S
34,1,SIN LINEA
35,1,SC1010J
36,1,SP150-8
36,2,SP150T-3
36,3,SP200III
36,4,SP250-3
37,1,HY125T-1
38,1,SPORTS
39,1,DFG2DR-340
3A,1,ARIEL 350
3B,1,BG210B
3C,1,970
3C,2,CH 6328EI
3C,3,CH1011CEI
3C,4,CH6353B_MINIVAN 
3C,5,IDEAL
3C,6,MINIVAN CHANGHE
3D,2,YJ-50D
3D,1,YJ300
3F,1,BUGGY
3H,1,HJ125 2A
3H,2,HJ150 2A
3J,1,JN7080A
3J,2,JNJ7080
3J,3,JNJ7110
3J,4,JNJ7111
