CODIGO,DESCRIPCION
A2,A.J.S
AB,ABARTH
A8,ACB
4A,ACCESS
RU,ACCURO
79,ACE
80,ACE MOTOR
A6,ACURA
81,ADDO
V7,ADVA
AX,AEOLUS
82,AG
A3,AGRALE
A9,AKITA
A4,AKT
AY,ALEKO
AR,ALFA ROMEO
83,ALFARO
84,ALL STATE
AL,ALLAD
85,ALLARD
9A,ALLIS CHALMERS
86,ALPS
A5,AMC (AMERICAN MOTOR CO)
AS,AMERICAN MOTOR
87,AMM
88,AMPHICAR
A7,AMPLE
89,AMW
AP,APE PIAGGIO
AG,APELCO GEN-MTO
90,APOLLO
1A,APRILIA
AA,ARABELLA
2A,ARGO
3A,ARIEL
91,ARO
AC,ARO CARPATI
AZ,ARO CORCEL
AW,ARO POWER
AI,ASIA
A1,ASIA MOTOR
AF,ASIA MOTORS
AM,ASTON MARTIN
AE,ASTRA
5A,ATM
6A,ATV
AD,AUDI
7A,AUPACO
AU,AUSTIN
AO,AUTECO
AJ,AUTECO BAJAJ
AQ,AUTECO KYMCO
AH,AUTO BIANCHI
AN,AUTO UNION
AT,AUTOCAR
AK,AUTOCAR WHITE
XZ,AUTOKRAFT
8A,AVANTI
AV,AVIA
YC,AYCO
92,AYCO ZONGSHEN
BM,B M W
BB,BABETA
BD,BAJAY
3B,BARBER GREENE
BA,BARREIROS
9B,BASHAN
70,BAUKEMA
8B,BAW
7B,BAW ZHAN QI
BF,BEDFORD
BI,BEIJING
BJ,BEIJING SANFENG
B2,BEISUTE
BL,BELARUS
4B,BELL
71,BENELLI
BT,BENTLEY
BE,BERLIET
B3,BEST
B4,BIG DOG
5B,BLAW KNOX
B5,BMA
6B,BOBCAT
BX,BOCXOD
B6,BOMBARDIER
72,BONSER
BW,BORG WARD
BV,BORGO
73,BOSA BOSHIE NIKE
B7,BOURGET
74,BOUSER
75,BRAND
76,BRIDGE
77,BRISA
B8,BRITISH
BY,BROCK WAY
94,BRODERSON
BP,BRONCO
B,BRONTO
B1,BROSHUIS
BR,BROWNIE TANK
B9,BRP
78,BRP/CAN AM
BZ,BSA
BC,BUCYRUS
1B,BUELL
BN,BUGENI
BG,BUGGY
BH,BUHING
BU,BUICK
BO,BULTACO
BK,BUSSING
BS,BUSSING
2B,BUYANG
BQ,BYD
C ,C.C.C.
K0,CABOT
CA,CADILLAC
CG,CAGIVA
CN,CAIN
C4,CAMC
4C,CAMECO
6C,CAN-AM
CY,CAPACITY
CB,CARABELLA
C1,CARDOX
CU,CARIATY
7C,CARIBE
CP,CARPATI
8C,CARTER BROTHERS
CS,CASE
CE,CATERPILLAR
9C,CCITTA REBEL
58,CENTAURS
CZ,CEZET
XA,CHAMPION
CV,CHANA
C7,CHANGAN
NG,CHANGFENG
GF,CHANGHE
3C,CHANGJIANG
59,CHANGLIN
60,CHARLY
CK,CHECKER
CC,CHEROCKE
CF,CHERY
CH,CHEVROLET
61,CHINA MOTORCYCLES
62,CHITUMA
C6,CHOICE
2C,CHONGQING
63,CHONGQING ZONGSHEN
CR,CHRYSLER
CI,CITROEN
CT,CLARK
C2,CLASE 60 TX
CL,CLAUSSON
C3,CMC
C8,CNENLON
XC,COBRA
C5,COLMOVE
64,COLOMBIANA DE CHASISES
CX,COLT LANCER
CD,COMANDO
65,COMET
CM,COMMER
CQ,COMMUTER
66,CONCORD
CJ,CONT. MARK
OO,COOPER
CO,CORCEL
C9,CPI
CW,CROWN
67,CRUISERN
68,CSEPEL-CUMMINS
1C,CUSHMA
69,CUSTOM CHROME
LN,D'LONG FC
D4,DACC
DQ,DACE
DA,DACIA
DL,DAELIM
DW,DAEWOO
DF,DAF
D1,DAIFO
DH,DAIHATSU
D6,DAIMLER BENZ
D7,DASHA
DT,DATSUN
DU,DAUTOCAR
DY,DAYANG
D8,DAYUN
EO,DE LOREAN
DS,DE SOTO
D9,DELKRON
DE,DELTA
DD,DEMAG
DP,DEPP
DB,DERBY
1D,DESTA
DR,DETROIT
DG,DEUTE MAGIRUS
DZ,DEUTZ
FM,DFM
DI,DIAMOND
D5,DIECI
DN,DINA
DC,DINAPAC
D2,DINLI
DV,DIVICO
DK,DKW
DJ,DNE PR16
DO,DODGE
DM,DOMINGUEZ
ON,DONG FENG
2D,DRESSER
3D,DTV
DX,DUCATI
D3,DUKAR
4D,DUST
E1,E-TON
EE,E.D. ETNYRE
EF,E.MERGE
EW,E.W.D.
EA,EAGLE
EC,EAGLE CARGO
E4,EASTMAN
EB,EBRO
E5,ECO CITI
ED,EDSEL
EI,EILLYZ
EM,EKA MOTORS
EL,EL SOL
EP,ELEPHANT POWER
EX,ELGIN PELICAN
E2,EM
EN,ENCAVA
E3,EP
EG,ERNEST GRUBER
ES,ESCARABAJO
EU,EUCLID
EV,EVO
EZ,EZGO
F7,F.N
FF,F.T.F.
F8,FAILING
FY,FAMY
FT,FANTA
F9,FANTIC
FA,FARGO
1F,FARSPEED
F1,FASTER 301 CHOIPERS
FU,FAUN
FZ,FAVOLCAR
FB,FAW
FE,FEDERAL
FR,FERRARI
FI,FIAT
2F,FIAT ALLIS
3F,FIBRAVAN
F2,FIRENZE
FL,FLEXIBLE
F6,FODEN
FC,FONTAINE
FO,FORD
FD,FORDSON
4F,FORMULA
FV,FOTON
FX,FRANBRETTA
FK,FRANKS
5F,FRAZER
FH,FREIGHT LINER
F3,FRIBEST
FS,FSO
FP,FUDEPAI
FN,FUNDAMOVIL
F5,FURUKAWA
FG,FUTONG
F4,FUXIANDA
FW,FWD
G1,G.W.M
G2,GALARDI
GL,GALION
GD,GARDNER DENVER
G3,GAS GAS
GA,GAZ
GY,GEELY
GW,GENERAL
G4,GENESIS
GE,GEO
GT,GEO METRO
GI,GERLIND
GH,GHIA
G5,GILERA
GM,GMC
G9,GO KART
GO,GOG
GG,GOLDEN DRAGON
GK,GOLDHOFER
GS,GOMOTORS
GJ,GONOW
1G,GOODLUCK
GN,GRANE  CARRIER
GC,GRANE CARRIER
GV,GREAT WALL
G7,GREMLIN
GR,GROVE
GU,GRUBE
GB,GRUBER
GX,GURGEL
TN,GURI
GZ,GUZZI
G6,GWM
HP,H & P (HELMERICH & PAYNE)
HG,HAFEI
H1,HAILI
2H,HALLA
H9,HALLEY
HQ,HALLIBURTON
HC,HALLYBURTO
H2,HAMMER HEAD
3H,HAOJIANG
H3,HAOJIN
4H,HAOJUE
H4,HAOMEN
5H,HARDLAND
HN,HARLEY DAVIDSON
